	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Podxl	23047.3263742249	2.30256409047557	0.0621641923789495	37.0400386839946	2.59809030498184e-300	4.30373659020241e-296
Chga	2168.94078744519	6.86723027446822	0.233859785097435	29.364733537265	1.54968640091818e-189	1.28352776156048e-185
Hsd3b1	3456.62840053675	9.80285254554275	0.350687398009068	27.9532501059227	6.01911183844263e-172	3.32355292012674e-168
Col3a1	47044.4256492803	1.32280282892632	0.0475703871923074	27.8072747984745	3.5424615209656e-170	1.46702187736988e-166
Col1a2	34824.4000986847	1.69770027334297	0.0633229542405145	26.8101874542165	2.45815065926444e-158	8.14385313414308e-155
Meg3	11845.8311170326	1.94586592055782	0.0782466377789379	24.8683646453317	1.63688366536707e-136	4.51916298613426e-133
Cdkn1c	56950.4351369868	1.50692956473074	0.0642079896655395	23.4695023560209	8.35876300834187e-122	1.97804156047404e-118
Igfbp7	5981.582449512	2.38326695910379	0.106208854777873	22.4394375034754	1.62284373037112e-111	3.36030079919971e-108
Pax2	10136.2243151571	-2.23171398814721	0.100441897458747	-22.2189548844774	2.25250857466871e-109	4.14586717104302e-106
Enpep	7137.07087159553	2.07045490623815	0.100320885616118	20.6383236503796	1.24299277203936e-94	2.05901752688321e-91
Adh1	1985.14009484836	4.69345906315768	0.22794582327136	20.5902393638962	3.35706384614626e-94	5.05543296467389e-91
Cyp21a1	1359.75621314258	8.68294403332325	0.43414283986153	20.000200938688	5.4851053184464e-89	7.57173080000538e-86
Capn6	5283.01836422856	-2.58591808714426	0.13232586598924	-19.5420454482763	4.82109682600238e-85	6.14318991713304e-82
Cyp11a1	1759.40768968043	6.9905100774076	0.365077680742835	19.1480072492621	1.00561837158561e-81	1.18986202323682e-78
Uncx	4985.74227570636	-2.64897463611517	0.139077772955061	-19.0467145096658	6.99574414058748e-81	7.72563344592211e-78
Col1a1	46693.3595072462	1.14528699251472	0.0641801433231528	17.8448805691832	3.1677966731023e-71	3.27965949312122e-68
Akr1cl	776.396080762039	7.64312836905324	0.433002954111574	17.6514462464471	9.91834407858149e-70	9.66455115657072e-67
Etv4	2156.7554472021	-3.24764599497968	0.184096554049818	-17.6409928569376	1.19345484855818e-69	1.09830997590923e-66
Xist	3743.94190024592	-2.76622864508807	0.160112055542894	-17.2768292537909	7.03084212616209e-67	6.12978420104605e-64
Ptpro	3053.72854089029	2.80207487487828	0.166306315701641	16.848878306614	1.06923481173277e-63	8.85593732817667e-61
Eya1	2567.67657145955	-3.67207136558722	0.218538123948416	-16.8028868338505	2.32449958666948e-63	1.83358741205619e-60
Th	685.838757241862	7.33245151639572	0.441071853799669	16.6241655486048	4.65806748133067e-62	3.50731308310194e-59
Chgb	2503.33973720333	5.70443441845249	0.34326690008493	16.6180730418258	5.15634959234019e-62	3.71369265204849e-59
Dbh	1061.41212624696	6.97056994699337	0.422290641797835	16.5065697816965	3.29063574141595e-61	2.2712242106898e-58
Col4a1	60353.8053488304	0.767641080665662	0.0469878427773438	16.3370147530117	5.38244668147337e-60	3.56640917114425e-57
Postn	5200.80340132902	1.96577071113958	0.121322778931926	16.2028163914921	4.81695066626487e-59	3.06895337641068e-56
Dlk1	7431.16149509592	2.3156442242249	0.146130543981255	15.8464080207758	1.48849266447434e-56	9.13217814333977e-54
Dpp4	4862.3839072486	1.79350072064482	0.115440083480935	15.536204293728	1.97330101675017e-54	1.16741897651667e-51
Sall1	8275.39274415738	-1.59124963773948	0.104943561783678	-15.162908621489	6.22503572694386e-52	3.55578333851121e-49
Sox11	9899.47534421872	-1.26990497884129	0.0848090345190473	-14.9736992767685	1.09081115643865e-50	6.02309560213543e-48
Synpo	3637.25376306742	2.05809912536255	0.138553482403591	14.8541854716256	6.53574745298943e-50	3.49240827608935e-47
Scarb1	3346.99370405986	2.20765786308659	0.149319066477577	14.7848356888711	1.83504576577223e-49	9.49922909688031e-47
Nphs1	2246.26649186478	2.60681327320432	0.177502206972609	14.6860893600415	7.91518601434997e-49	3.97318352508204e-46
Peg10	11531.3706656341	1.21445096937597	0.0829919333192407	14.6333615907513	1.72070963746028e-48	8.38339857192043e-46
Nr5a1	881.739588294452	5.49283853351958	0.384100593005993	14.3005208363057	2.17178062620422e-46	1.02787274494494e-43
Ncl	43493.1363434098	-0.693773190294098	0.0490589824665464	-14.1416139392452	2.10402943730929e-45	9.6814576747301e-43
Sparc	22376.2488214852	0.930624829192764	0.0660992034477077	14.0792139791669	5.09735856741666e-45	2.28210120727722e-42
Cyp11b1	527.904472228427	6.30177077641459	0.450442262146924	13.9901854377045	1.7894474327225e-44	7.8005780850127e-42
Col6a1	4990.31759736294	1.73564294565818	0.126055878433386	13.7688378140602	3.92476070462638e-43	1.66701695056759e-40
Kcnk9	611.070349121376	5.7484786530957	0.422468827422622	13.606870566441	3.64521130824545e-42	1.50957313302715e-39
Nphs2	909.074800259184	3.67435395175271	0.275871077676128	13.3190981189641	1.79259868683287e-40	7.24253591399671e-38
Tlx2	523.292142476612	8.46947774631448	0.638023211336427	13.2745605423571	3.2517312074423e-40	1.28249827264957e-37
Star	1725.92808584853	3.59397326039956	0.271348929035864	13.2448404096135	4.83308113535547e-40	1.86186020946892e-37
