Gene Symbol	Gene ID	
Barhl1	54422	
Snap25	20614	
Unc79	217843	
Vstm2l	277432	
Col5a3	53867	
Ina	226180	
Tubb3	22152	
Ptprn	19275	
Srrm4	68955	
Nefm	18040	
Slc7a14	241919	
Elavl3	15571	
Chgb	12653	
Nos3	18127	
Rph3a	19894	
Nfasc	269116	
Myt1	17932	
Scn3b	235281	
Npas3	27386	
Celf3	78784	
Fbxl16	214931	
1Trpm3	-	
Resp18	19711	
Unc13a	382018	
Sfxn3	94280	
Chga	12652	
Ccdc159	67119	
Scamp5	56807	
Celsr3	107934	
Hnf1a	21405	
Mpped1	223726	
Cadps	27062	
Rap1gap	110351	
Syp	20977	
Gria2	14800	
Syn1	20964	
Acaa1b	235674	
Col16a1	107581	
Sec14l5	665119	
Exoc3l	277978	
Nr2e1	21907	
Slc24a2	76376	
Celf4	108013	
Phactr1	218194	
Tnxb	81877	
Igsf9b	235086	
St18	240690	
Ddc	13195	
Arhgap29	214137	
Kcnip1	70357	
